DATE,PAYS,"CODE POSTAL",LOCALITE,"LANGUE MATERNELLE","LANGUE VEHICULAIRE","COMMENT NOUS AVEZ-VOUS DECOUVERT?",MIN,KM
31/07/2019,DE,1445,RADEBEUL,DE,ANG,B.A.O.,,
01/08/2019,NL,4872 RT,ETTEN-LEUR,NL,ANG,GOOGLE - WHAT TO DO IN Luxembourg,,
01/08/2019,DE,54439,PALZEM,DE,ANG,PASSAGE,47,63
01/08/2019,NL,7425 RG,DEVENTER,NL,ANG,VISIT LUXEMBOURG,,
01/08/2019,BE,6700,ARLON,FR,LUX,3EME VISITE,32,26
01/08/2019,DE,8340,SCHWAZENBERG,DE,ANG,GOOGLE - WHAT TO DO IN Luxembourg,,
01/08/2019,LU,5233,SANDWEILER,LUX,DE,B.A.O.,28,34
01/08/2019,LU,5838,FENTANGE,LUX,FR,2EME VISITE,26,28
01/08/2019,FR,54000,NANCY,FR,DE,INTERNET (SAIS PLUS),79,116
01/08/2019,FR,57570,HAGEN,FR,DE,INTERNET (SAIS PLUS),33,36
01/08/2019,FR,67680,NOTHALTEN,FR,LUX,B.A.O.,170,255
01/08/2019,FR,94370,SUCY-EN-BRIE,FR,ANG,B.A.O.,,
01/08/2019,UK,TN13 2HR,SEVENOAKS,ANG,FR,VISIT LUXEMBOURG,,
01/08/2019,LU,5330,MOUTFORT,LUX,DE,ECOLE,31,37
01/08/2019,LU,3961,EHLANGE-SUR-MESS,LUX,FR,B.A.O.,16,16
02/08/2019,FR,57570,EVRANGE,LUX ,FR,B.A.O.,18,26
02/08/2019,FR,57290,EDANGE,LUX ,FR,GOOGLE,33,39
02/08/2019,DE,78554,ALDINGEN,DE,DE,BROCHURE,233,349
02/08/2019,DE,55218,INGELHEIM AM RHEIN,DE,DE,GOOGLE,131,204
02/08/2019,GB,GY57RF,CASTEL,ANG,FR,GOOGLE,,
02/08/2019,FR,76630,ENGLESQUEVILLE,FR,FR,GOOGLE,240,483
02/08/2019,LU,5880,HESPERANGE,LUX,FR,2ŠME VISITE,22,27
02/08/2019,DE,66780,REHLINGEN-SIERSBURG,DE,ANG,GOOGLE,45,76
02/08/2019,UK,RH177AP,HAYWARDS HEATH,ANG,FR,GOOGLE,,
02/08/2019,LU,4646,DIFFERDANGE-NIEDERKORN,LUX,FR,B.A.O.,4,2
02/08/2019,LU,4797,LINGER,LUX,DE,GOOGLE,9,5
02/08/2019,LU,8021,MAMER,ROUMAIN,ANG ,GOOGLE,23,18
02/08/2019,LU,3211,BETTEMBOURG,LUX,FR ,ECOLE,19,20
02/08/2019,SUISSE,8634,HOMBRECHTIKON,DE,FR,B.A.O.,282,466
03/08/2019,LU,2518,LUXEMBOURG,LUX,LUX,FB,28,32
03/08/2019,LU,2159,LUXEMBOURG,LUX,LUX,Presse MEDIA ( NE SAIS PLUS ),21,26
03/08/2019,SG,439888,SINGAPOUR,CHINOIS,ANG,TRIPADVISOR,,
03/08/2019,FR,57380,SAINT - AVOLD ,FR,FR,FB,76,110
03/08/2019,LU,4625,DIFFERDANGE,LUX,LUX,Passage HABITE A DIFFERDANGE,9,2
03/08/2019,FR,57290,SEREMANGE,FR,FR,FB,35,39
03/08/2019,LU,4438,SOLEUVRE,LUX,LUX,BAO LEIERBUD FILS ,4,3
03/08/2019,LU,4940,BASCHARAGE,LUX,LUX,Presse MEDIA ( NE SAIS PLUS ),14,9
03/08/2019,LU,1461,LUXEMBOURG,THAI,ANG,FB,29,36
04/08/2019,LU,4108,ESCH-SUR-ALZETTE ,FR,FR,GOOGLE,11,8
04/08/2019,LU,3450,DUDELANGE,DE,LUX,ECOLE,19,23
04/08/2019,FR,57330,HETTANGE-GRANDE,FR,ANG ,FB,25,33
