DATE,PAYS,CODE POSTAL,LOCALITE,LANGUE MATERNELLE,LANGUE VEHICULAIRE,COMMENT NOUS AVEZ-VOUS DECOUVERT?,MIN,KM
01/03/2019,LU,8311,CAPELLEN,HOLLONDAIS,DE,B.A.O.,28,19
01/03/2019,DE,54426,HEIDENBURG,DE,DE,B.A.O.,66,100
01/03/2019,LU,4932,HAUTCHARAGE,DE,DE,B.A.O.,15,7
01/03/2019,LU,1250,LUXEMBOURG,ANG,ANG,B.A.O. AMIS,28,27
01/03/2019,DE,56355,NASTŽTTEN,DE,DE,F.B.,130,221
01/03/2019,DE,54668,ALSDORF,DE,DE,GOOGLE,59,72
01/03/2019,LU,1865,LUXEMBOURG,FR,FR,B.A.O.,31,27
01/03/2019,LU,8289,KEHLEN,LUX,LUX,B.A.O. FAMILLE (BANQUE DE Luxembourg ),32,25
02/03/2019,FR,13005,MARSEILLE,FR,ANG,2EME VISITE,,
02/03/2019,LU,6946,NIEDERANVEN,FR,ANG,B.A.O.,29,42
02/03/2019,LU,5222,SANDWEILER,FR,ANG,B.A.O.,25,33
02/03/2019,FR,57970,STUCKANGE,FR,ANG,INTERNET (SAIS PLUS),46,47
02/03/2019,DE,54668,ERNZEN,DE,NL,GOOGLE - WISSENSCHAFTEN,58,71
02/03/2019,LU,7625,LAROCHETTE,ANG,TCHEQUE,GOOGLE - WHAT'S ON FOR KIDS,42,53
02/03/2019,LU,8096,BERTRANGE,CHINESE,ANG,GOOGLE - WHAT'S ON FOR KIDS,22,19
02/03/2019,LU,3780,TETANGE,LUX,FR,B.A.O.,17,17
02/03/2019,FR,57920,BUDING,FR,DE,FB,56,62
02/03/2019,FR,54430,REHON,FR,ANG,GOOGLE (SAIS PLUS),25,19
02/03/2019,FR,57000,METZ,ARABE,FR,B.A.O.,50,69
02/03/2019,FR,57440,ANGEVILLERS,FR,ANG,B.A.O.,31,31
02/03/2019,BE,6760,VIRTON,FR,ANG,2EME VISITE,41,31
02/03/2019,LU,7391,BLASCHETTE,FR,LUX,Presse MEDIAS (SAIS PLUS),35,46
02/03/2019,FR,70250,RONCHAMP,FR,FR,B.A.O.,179,276
02/03/2019,LU,7570,MERSCH,BULGARE,FR,FB,37,43
02/03/2019,FR,79330,SAINT-VARENT,FR,ANG,B.A.O.,,
02/03/2019,FR,57270,UCKANGE,FR,ANG,FB,40,46
02/03/2019,LU,4955,BASCHARAGE,LUX,FR,2EME VISITE,12,7
02/03/2019,BE,6750,MUSSON,DE,LUX,B.A.O.,29,22
02/03/2019,LU,8367,HAGEN,DE,LUX,B.A.O.,24,18
02/03/2019,LU,1476,HOWALD,FR,ANG,2EME VISITE,22,26
02/03/2019,LU,5252,SANDWEILER,LUX,FR,Presse WORT,26,33
02/03/2019,LU,1940,LUXEMBOURG,FR,ANG,2EME VISITE,21,24
02/03/2019,LU,5750,FRISANGE,ANG,POLONAIS,FB,21,27
02/03/2019,LU,1457,LUXEMBOURG,FR,ANG,B.A.O.,28,35
03/03/2019,DE,78467,KONSTANZ,DE,ANG,VISIT LUXEMBOURG,271,411
03/03/2019,FR,54190,VILLERUPT,FR,IT,AMIS A MARIO,18,11
03/03/2019,FR,54920,MORFONTAINE,FR,PT,FB,19,14
03/03/2019,LU,9012,ETTELBRUCK,IT,FR,B.A.O. NOTRE SITE (B.A.O.),44,62
03/03/2019,FR,57050,LORRY-LES-METZ,FR,ANG,INTERNET (SAIS PLUS),50,69
03/03/2019,FR,57570,HAGEN,FR,RUSSE,LET'S GO FAMILY,33,36
03/03/2019,DE,54329,KONZ,ANG,DE,GOOGLE - WHAT TO DO IN Luxembourg,60,72
03/03/2019,LU,4561,DIFFERDANGE,ROUMAIN,FR,HABITE A DIFFERDANGE,4,1
03/03/2019,LU,7260,BERELDANGE,POLONAIS,ESP,GOOGLE - WHAT TO DO IN Luxembourg,27,34
03/03/2019,LU,5884,HESPERANGE,ANG,FR,INTERNET (SAIS PLUS),22,27
03/03/2019,LU,8805,RAMBROUCH,LUX,DE,FB,48,43
03/03/2019,LU,3454,DUDELANGE,LUX,DE,2EME VISITE,19,23
03/03/2019,FR,54560,SANCY,FR,ANG,B.A.O.,30,26
03/03/2019,LU,7517,MERSCH,LUX,FR,B.A.O.,20,25
03/03/2019,LU,2672,LUXEMBOURG,LUX,FR,Presse WORT,37,51
03/03/2019,LU,5753,FRISANGE,LUX,FR,SCIENCE FESTIVAL,21,26
03/03/2019,LU,2551,LUXEMBOURG,UKRAINIEN,RUSSE,3EME VISITE,21,25
03/03/2019,LU,4540,DIFFERDANGE,LUX,FR,HABITE A DIFFERDANGE,2,0
03/03/2019,LU,5247,ROSMALEN,NL,ANG,GOOGLE - SCIENCE,192,321
03/03/2019,LU,4492,SOLEUVRE,LUX,DE,HABITE A DIFFERDANGE,5,3
03/03/2019,LU,4570,NIEDERKORN,LUX,FR,6EME (MINIMUM),4,2
03/03/2019,BE,6700,ARLON,FR,ANG,2EME VISITE,29,26
03/03/2019,BE,6700,ARLON,FR,ANG,B.A.O.,29,26
03/03/2019,LU,3316,BERGEM,LUX,FR,B.A.O.,16,16
03/03/2019,LU,5836,ALZINGEN,FR,ANG,4EME VISITE,24,28
03/03/2019,LU,2127,LUXEMBOURG,LUX,FR,FB,28,35
03/03/2019,LU,9521,WILTZ,ROUMAIN,ANG,VISIT LUXEMBOURG,65,86
03/03/2019,BE,6700,ARLON,FR,ANG,NE SAIS PLUS,29,26
03/03/2019,LU,8353,GARNICH,LUX,DE,ECOLE,19,14
03/03/2019,LU,1638,SENNINGERBERG,FR,ANG,INTERNET (SAIS PLUS),25,36
03/03/2019,LU,7220,WALFERDANGE,ANG,FR,PASSAGE,29,35
03/03/2019,FR,57525,TALANGE,FR,ANG,AMIS A GUILLAUME,38,55
03/03/2019,LU,6917,ROODT-SUR-SYRE,LUX,FR,Ecole MEN,33,45
03/03/2019,LU,4046,ESCH-SUR-ALZETTE ,LUX,FR,AMIS A NADIA,11,10
03/03/2019,LU,2435,LUXEMBOURG,FR,FR,Presse L'ESSENTIEL,29,34
03/03/2019,LU,2612,LUXEMBOURG,LUX,FR,B.A.O.,25,32
03/03/2019,LU,4601,NIEDERKORN,LU,FR,HABITE A DIFFERDANGE,3,1
03/03/2019,LU,1161,LUXEMBOURG,RUSSE,LETTON,B.A.O.,24,26
03/03/2019,LU,4976,BETTANGE-SUR-MESS,LUX,DE,Presse MEDIA (SAIS PLUS),16,13
03/03/2019,LU,3739,RUMELANGE,LUX,FR,ECOLE,19,20
04/03/2019,LU,54331,OBERBILLIG,DE,DE,FB,41,59
04/03/2019,BE,6780,ARLON,NL,FR,NL,DE,ANG
04/03/2019,LU,9633,BASCHLEIDEN,DE,DE,B.A.O.,59,55
04/03/2019,FR,94240,l'HAY-LES-ROSES,FR,FR,GOOGLE,,
04/03/2019,DE,54450,FREUDENBURG,DE,DE,GOOGLE,42,59
04/03/2019,LU,8011,STRASSEN,PT,FR,B.A.O. AMIS,24,28
05/03/2019,DE,66706,PERL,DE,ANG,INTERNET (SAIS PLUS),34,44
05/03/2019,DE,87435,KEMPTEN,DE,BAIRISCH,GOOGLE WISSENSCHAFTEN,,
05/03/2019,DE,65830,KRIFTEL,DE,DE,GOOGLE,170,239
05/03/2019,BE,7900,LEUZE-EN-HAINAUT,FR,FR,FLYER ( VIANDE HâTEL),168,261
05/03/2019,LU,6646,MERTERT,LUX,FR,VISIT LUXEMBOURG,45,70
05/03/2019,BE,6792,HALANZY,FR,FR,GOOGLE - MUSEES GRAND-DUCHE,23,16
05/03/2019,BE,6700,ARLON,FR,ANG,B.A.O.,32,26
05/03/2019,BE,6780,MESSANCY,FR,DE,GOOGLE - MUSEE SCIENCE,25,17
05/03/2019,LU,7181,SENEFFE,FR,NL,GOOGLE (SAIS PLUS),135,207
05/03/2019,LU,3393,ROEDGEN,LUX,FLAMAND,B.A.O.,18,14
05/03/2019,LU,8436,STEINFORT,PT,ANG,B.A.O.,24,18
05/03/2019,LU,8384,KOERICH,CHINOIS,FR,B.A.O.,26,19
06/03/2019,LU,8358,KOERICH,PT,FR,ECOLE ,27,21
06/03/2019,DE,55294,BODENHEIM,DE,ANG,FB,139,242
06/03/2019,LU,8355,GARNICH,FR,FR,B.A.O. AMIS,19,14
06/03/2019,BE,6700,ARLON,FR,FR,GOOGLE,33,25
06/03/2019,BE,6792,HALANZY,FR,FR,GOOGLE,25,16
06/03/2019,FR,54350,MONT ST MARTIN,FR,FR,ARCELOR MITTAL,23,13
06/03/2019,LU,4671,OBERKORN,LUX,LUX,ECOLE,5,1
07/03/2019,BE,6840,NEUFCHATEAU,FR,FR,B.A.O.,53,63
07/03/2019,BE,6810,CHINY,FR,ANG,2EME VISITE,56,57
07/03/2019,LU,4681,DIFFERDANGE,ANG,ARMENIEN,HABITE A DIFFERDANGE,3,1
07/03/2019,BE,6750,MUSSON,FR,LUX,B.A.O.,34,22
07/03/2019,FR,57100,THIONVILLE,FR,DE,B.A.O.,43,40
07/03/2019,LU,4039,ESCH-SUR-ALZETTE ,IT,LUX,B.A.O.,17,11
07/03/2019,LU,7380,LORENTZWEILER,LU,FR,INTERNET (SAIS PLUS),38,44
08/03/2019,BE,6700,ARLON,FR,DE,B.A.O.,34,25
08/03/2019,FR,54730,GORCY,FR,FR,FB,37,30
08/03/2019,BE,6730,TINTIGNY,FR,ANG,FB,47,47
08/03/2019,BE,3080,TERVUREN,NL,ANG,B.A.O.,141,207
08/03/2019,LU,7480,TUNTANGE,FR,ANG,INTERNET (SAIS PLUS),37,29
08/03/2019,BE,2390,MALLE,NL,FR,B.A.O.,187,286
08/03/2019,BE,6700,ARLON,FR,FR,PUB SUR GOOGLE,34,25
08/03/2019,FR,55600,THONNE-LE-THIL,FR,FR,FB,59,56
08/03/2019,LU,1363,HOWALD,FR,ANG,B.A.O.,26,26
08/03/2019,BE,6700,ARLON,FR,ANG,B.A.O.,34,25
09/03/2019,LU,4470,SOLEUVRE,DE,DE,FB,5,2
09/03/2019,LU,1256,LUXEMBOURG,POLONAIS,FR,KIDEAZ.COM,28,32
09/03/2019,LU,8077,BERTRANGE,FR,FR,3ŠME Visite ,23,20
09/03/2019,FR,57330,HETTANGE-GRANDE,FR,FR,B.A.O. AMIS,30,34
09/03/2019,FR,57160,CHATEL-SAINT-GERMAIN,FR,FR,GOOGLE,50,68
09/03/2019,LU,8410,STEINFORT,ESP,FR,GOOGLE,24,18
09/03/2019,FR,54560,AUDUN-LE-ROMAN,FR,FR,MR MARIO TIDU,23,21
09/03/2019,FR,57570,RODEMACK,FR,FR,AMIS,19,26
09/03/2019,LU,1430,LUXEMBOURG,LUX,LUX,PETITWEB.LU,23,24
09/03/2019,LU,1525,LUXEMBOURG,ANG,ANG,B.A.O.,27,27
09/03/2019,DE,54294,TRIER,DE,FR,B.A.O. AMIS,55,68
09/03/2019,FR,54190,VILLERUPT,FR,FR,B.A.O.,17,12
09/03/2019,FR,57100,THIONVILLE,FR,FR,B.A.O.,34,42
09/03/2019,LU,7358,LORENTZWEILER,LUX,LUX,B.A.O. AMIS,38,50
09/03/2019,LU,6555,BOLLENDORF-PONT,LUX,LUX,GOOGLE,57,64
09/03/2019,LU,6370,HALLER,ANG,LUX ,B.A.O.,55,61
09/03/2019,LU,2713,LUXEMBOURG,BOSNIEN,FR,GOOGLE,24,25
09/03/2019,LU,1550,LUXEMBOURG,PT ,FR,GOOGLE,20,24
09/03/2019,LU,4182,ESCH SUR ALZETTE ,PT,FR,B.A.O.,16,7
09/03/2019,LU,1469,LUXEMBOURG,IT,FR,ECOLE,26,27
09/03/2019,LU,8095,BERTRANGE,FR,FR,B.A.O.,24,20
09/03/2019,LU,1617,LUXEMBOURG,PT,FR,GOOGLE,23,25
10/03/2019,FR,57100,THIONVILLE,FR,ANG,B.A.O.,34,42
10/03/2019,FR,57100,THIONVILLE,FR,FR,FAMILLE,34,42
10/03/2019,FR,54530,PAGNY-SUR-MOSELLE,FR,FR,AMIS ,64,89
10/03/2019,LU,5670,MONDORF LES BAINS,LUX,LUX ,FB,21,31
10/03/2019,FR,54530,PAGNY-SUR-MOSELLE,FR,FR,AMIS,64,89
10/03/2019,FR,57645,MONTOY-FLANVILLE,FR,FR,KIDEAZ.COM,48,76
10/03/2019,LU,2412,LUXEMBOURG,FR,FR,,18,25
10/03/2019,DE,54290,TRIER,DE,DE,GOOGLE,54,75
10/03/2019,FR,88140,BULGNEVILLE,FR,FR,GOOGLE,114,189
10/03/2019,LU,3259,BETTEMBOURG,FR,FR,B.A.O.,21,20
10/03/2019,FR,54400,LONGWY,FR ,FR,FB,20,19
10/03/2019,DE,54292,TRIER,DE,DE,GOOGLE,54,75
10/03/2019,DE,66333,VOLKINGEN,DE,DE,FB,64,96
10/03/2019,BE,3890,MONTENKAEN,FR,FR,GOOGLE,123,189
10/03/2019,LU,7780,BISSEN,LUX,LUX,RTL TELE,41,55
10/03/2019,LU,8381,KLEINBETTINGEN,FR,FR,AMIS,22,17
10/03/2019,LU,5419,EHNEN,FR,PT,VISIT LUXEMBOURG,42,47
10/03/2019,FR,57390,AUDUN LE TICHE,FR,FR,PRESSE ( r‚publicain lorrain),16,11
10/03/2019,LU,8255,MAMER,LUX,FR,B.A.O.,24,18
10/03/2019,LU,5929,HAUTCHARAGE,DE,DE,TRAP GUILLAUME ,171,305
10/03/2019,LU,1200,LUXEMBOURG,ANG,ANG,B.A.O.,10,6
10/03/2019,FR,54430,REHON,FR,FR,KIDEAZ.COM,22,19
10/03/2019,LU,5405,SCHENGEN,LUX,LUX,GOOGLE ,29,39
10/03/2019,FR,57290,FAMECK,FR,ARABE,ECOLE,33,39
10/03/2019,FR,54620,BOISMONT,FR,FR,ARCELOR MITTAL,26,22
10/03/2019,FR,54720,CUTRY,FR,ANG,FB,22,18
10/03/2019,LU,1429,LUXEMBOURG,DE,ANG,FB,22,28
10/03/2019,FR,54680,CRUSNES,FR,FR,FB,21,17
10/03/2019,LU,2542,LUXEMBOURG,TCHEQUE,LUX ,B.A.O.,27,31
10/03/2019,LU,1268,LUXEMBOURG,ANG,FR,QUOI FAIRE AU  Luxembourg ,23,32
10/03/2019,FR,54850,HAUCOURT-MOULAINE,FR,FR,REPUBLICAIN LORRAIN,84,138
10/03/2019,DE,54439,PALZEM,DE,DE,GOOGLE,34,44
10/03/2019,LU,4888,LAMADELEINE,LUX,LUX,ECOLE,12,6
