DATE,PAYS,CODE POSTAL,LOCALITE,LANGUE MATERNELLE,LANGUE VEHICULAIRE,COMMENT NOUS AVEZ-VOUS DECOUVERT?,MIN,KM
01/05/2019,LU,5752,FRISANGE,FR,FR,FB,21,27
01/05/2019,LU,2335,Luxembourg,PT,FR,FB,25,27
01/05/2019,LU,4444,BELVAUX,PT,FR,FB,9,5
01/05/2019,LU,1281,Luxembourg,RUSSE,ANG,FB,24,26
01/05/2019,LU,7320,STEINSEL,CHINOIS,ANG,FB,32,35
01/05/2019,LU,4842,RODANGE,PT,FR,ECOLE,16,8
01/05/2019,LU,2539,Luxembourg,ESP,ANG,FB,26,32
01/05/2019,LU,2221,Luxembourg,ROUMAIN,FR,FB,26,33
01/05/2019,LU,8041,STRASSEN,PT,FR,FB,21,26
01/05/2019,LU,1209,SENNINGERBERG,GREC,FR,FB,26,36
01/05/2019,LU,2542,Luxembourg,IT,FR,FB,30,29
01/05/2019,LU,2451,Luxembourg,LU,FR,BAO CONNAISSANCE M. DIDIER,22,25
01/05/2019,LU,4409,BELVAUX,FR,IT,INTERNET (SAIS PLUS),8,4
01/05/2019,LU,8079,BERTRANGE,FR,NL,4EME VISITE,23,18
01/05/2019,LU,5956,ITZIG,SERBE,ANG,FB,26,29
01/05/2019,LU,9144,HIERHECK,FR,FR,FB,54,50
01/05/2019,LU,8042,STRASSEN,ARABE,ANG,FB,21,26
01/05/2019,LU,8080,BERTRANGE,FR,ANG,ECOLE,19,24
01/05/2019,LU,3919,MONDERCANGE,LUX,FR,FB,15,9
01/05/2019,LU,3833,SCHIFFLANGE,ARABE,ANG,FB,14,13
01/05/2019,LU,54440,LONGWY,FR,DE,B.A.O.,22,14
01/05/2019,LU,3251,BETTEMBOURG,HINDI,ANG,FB,22,21
01/05/2019,LU,5752,FRISANGE,ANG,FR,FB,22,27
01/05/2019,LU,3742,RUMELANGE,PT,FR,FB,22,16
01/05/2019,LU,4591,DIFFERDANGE,SERBE,FR,HABITANT,4,1
01/05/2019,LU,8255,MAMER,PT,LUX,MR,26,19
01/05/2019,LU,9088,ETTELBRUCK,PT,FR,FB,45,62
01/05/2019,LU,8260,MAMER,ROUMAIN,FR,B.A.O.,25,18
01/05/2019,LU,7392,ASSELSCHEUER,FR,ANG,INTERNET (SAIS PLUS),34,43
01/05/2019,LU,9175,NIEDERFEULEN,DE,DE,FB,49,66
01/05/2019,LU,5373,SCHUTTRANGE,LU,FR,ECOLE,31,38
01/05/2019,LU,4210,ESCH-SUR-ALZETTE ,PT,LUX,INTERNET (SAIS PLUS),17,10
01/05/2019,LU,1224,LUXEMBOURG,ROUMAIN,FR,FB,22,25
01/05/2019,LU,2121,LUXEMBOURG,TCHEQUE,RUSSE,Presse LUXTIMES,31,36
01/05/2019,LU,5376,SCHUTTRANGE,LUX,FR,ECOLE,31,41
01/05/2019,LU,3672,KAYL,BOSNIAQUE,FR,ECOLE,16,16
01/05/2019,LU,8011,STRASSEN,ANG,LUX,FB,23,26
02/05/2019,ROUMANIE,11189,BUCAREST,ROUMAIN,ANG,INTERNET (SAIS PLUS),,
02/05/2019,LU,4510,DIFFERDANGE,LUX,FR,3EME VISITE,3,1
02/05/2019,FR,95210,SAINT-GRATIEN,FR,ANG,TRIPADVISOR,267,363
02/05/2019,LU,4055,ESCH-SUR-ALZETTE ,LUX,FR,ECOLE,13,9
02/05/2019,NL,1188KN,AMSTELVEEN,DUTCH,IT,CAMPING,,
03/05/2019,NL,9472ZL,ZUIDLAREN,DUTCH,ANG,GOOGLE - WHAT TO DO IN Luxembourg,310,512
03/05/2019,NL,5941AG,VELDEN,DUTCH,ANG,GOOGLE - WHAT TO DO IN Luxembourg,178,270
03/05/2019,NL,8017NK,ZWOLLE,DUTCH,ANG,VISIT LUXEMBOURG,259,418
03/05/2019,NL,5122BR,RIJEN,DUTCH,ANG,VISIT LUXEMBOURG,211,312
04/05/2019,LU,1227,LUXEMBOURG,PT,FR ,KIDEAZ,25,30
04/05/2019,FR,57070,METZ,FR,FR,Presse REPUBLICAIN LORRAIN,44,66
04/05/2019,LU,4459,SOLEUVRE,ROUMAIN,FR,B.A.O,7,4
04/05/2019,LU,8076,BERTRANGE,ANG,ANG,B.A.O,20,25
04/05/2019,NL,3817,AMERSFOORT,HOLLANDAIS,FR,GOOGLE,14,13
04/05/2019,LU,1160,LUXEMBOURG,FR,PT,B.A.O,22,27
04/05/2019,LU,3321,BERCHEM,FR,FR,FB,21,26
04/05/2019,DE,54675,K™RPERICH,DE,DE,Presse RADIO (SAIS PLUS),61,74
04/05/2019,DE,61118,BAD VILBEL,DE,DE,GOOGLE QUOI FAIRE AU Luxembourg ,157,295
04/05/2019,FR,57070,METZ,FR,FR,BAO AMIS,45,61
04/05/2019,LU,7220,WALFERDANGE,ROUMAIN,FR,2ŠME VISITE,29,35
04/05/2019,DE,54634,BITBURG,DE,ANG,FB,60,95
04/05/2019,LU,8224,MAMER,IRLANDAIS,ESP,GOOGLE,23,20
04/05/2019,LU,7259,BERELDANGE,LUX,LUX,B.A.O,26,33
04/05/2019,LU,1250,LUXEMBOURG,LUX,LUX,2 Ôme Visite ,26,27
04/05/2019,LU,8096,BERTRANGE,LUX,LUX,FB,22,27
04/05/2019,FR,57360,AMNEVILLE,FR,FR,GOOGLE,40,47
04/05/2019,LU,4540,DIFFERDANGE,PT,FR,2ŠME VISITE,3,1
04/05/2019,LU,3863,SCHIFFLANGE,LUX,LUX,B.A.O.,16,14
04/05/2019,LU,7390,BLASCHETTE,LUX,LUX,BAO AMIS,33,46
04/05/2019,LU,5447,SCHWEBESANGE,LUX,LUX,PRESSE,31,41
04/05/2019,LU,1543,LUXEMBOURG,FR,FR,FB,24,34
04/05/2019,FR,25660,LA GLACIŠRE ,FR,FR,B.A.O,227,345
04/05/2019,LU,1870,LUXEMBOURG,FR,FR,B.A.O,18,22
04/05/2019,LU,8030,STRASSEN,FR,FR,BAO AMIS,21,27
04/05/2019,FR,2801,MEMER,FR,FR,BAO AMIS,,
04/05/2019,LU,1376,LUXEMBOURG,ESP,DE,BAO AMIS,25,34
04/05/2019,FR,51530,CHAVOT - COURCOURT,FR,FR,2ŠME VISITE EN VACANCES VISITE AMIS ,,
04/05/2019,LU,8189,KOPSTAL,ESP,FR,BAO AMIS,26,33
04/05/2019,FR,57070,METZ,FR,FR,BAO AMIS,45,61
04/05/2019,LU,4088,LAMADELAINE,LUX,LUX,2ŠME VISITE,13,8
04/05/2019,LU,2121,LUXEMBOURG,LUX,LUX,ECOLE,28,31
05/05/2019,FR,57600,FORBACH,FR,FR,ECOLE,69,109
05/05/2019,LU,1255,LUXEMBOURG,DE,DE,ECOLE,20,25
05/05/2019,LU,5252,SANDWEILER,ROUMAIN,ANG,B.A.O,24,33
05/05/2019,LU,1338,LUXEMBOURG,LUX,LUX,GOOGLE,21,26
05/05/2019,LU,2611,LUXEMBOURG,PT,FR,ECOLE,20,27
05/05/2019,LU,8086,BERTRANGE,LUX,LUX,PRESSE,24,20
05/05/2019,LU,2271,LUXEMBOURG,IT,FR,BAO AMIS,22,25
05/05/2019,DE,6606,PERL,LITUANIEN,ANG ,5ŠME VISITE,30,45
05/05/2019,LU,2538,LUXEMBOURG,FR,FR,GOOGLE,22,28
05/05/2019,FR,57320,DALSTEIN,FR,FR,GOOGLE,45,63
05/05/2019,LU,6912,ROODT-SUR-SYRE,LUX,LUX,B.A.O,31,45
05/05/2019,FR,54135,MEXY,FR,FR,FB,19,16
05/05/2019,LU,6915,ROODT-SUR-SYRE,LUX,LUX,FB,31,45
05/05/2019,LU,4731,PETANGE,LUX,DE ,ECOLE ,10,7
05/05/2019,FR,57330,KANFEN,FR,FR,B.A.O,21,28
05/05/2019,LU,1134,LUXEMBOURG,SLOVAQUE,DE,GOOGLE,21,26
05/05/2019,LU,8364,STEINFORT,FR,FR,B.A.O ,24,18
05/05/2019,LU,1145,LUXEMBOURG,LUX,LUX,PRESSE,20,27
05/05/2019,LU,4170,ESCH-SUR-ALZETTE ,PT,LUX,FB,14,11
05/05/2019,LU,5880,HESPERANGE,DE,DE,BAO AMIS,21,27
05/05/2019,LU,9560,WILTZ,SERBE,LUX,FAMILLE,65,88
05/05/2019,LU,1429,LUXEMBOURG,DE,ANG,FB,22,28
05/05/2019,FR,57570,MONDORFF,FR,FR,ECOLE,24,33
05/05/2019,LU,1429,LUXEMBOURG,DE,ANG,FB,23,28
05/05/2019,LU,1137,LUXEMBOURG,FR,FR,BAO AMIS,20,26
05/05/2019,FR,54590,HUSSSIGNY ,FR,FR,FB,9,5
05/05/2019,LU,7340,HEISDORF,POLONAIS,FR,BAO AMIS,29,36
08/05/2019,FR,57570,FIXEM,FR,FR,FB,26,31
08/05/2019,FR,57390,AUDUN-LE-TICHE,FR,FR,NE SAIS PLUS,16,11
