DATE,PAYS,CODE POSTAL,LOCALITE,LANGUE MATERNELLE,LANGUE VEHICULAIRE,COMMENT NOUS AVEZ-VOUS DECOUVERT?,MIN,KM
01/11/2019,FR,88510,ELOYES,FR,FR,VISIT LUXEMBOURG,130,205
01/11/2019,LU,7242,HELMSANGE,ANG,FR,2EME VISITE,31,35
01/11/2019,LU,4059,ESCH-SUR-ALZETTE ,LUX,FR,B.A.O.,14,11
01/11/2019,FR,57100,THIONVILLE,FR,ANG,B.A.O.,36,41
01/11/2019,LU,8371,HOBSCHEID,GREC,FR,B.A.O.,28,22
01/11/2019,LU,5340,MOUTFORT,SUEDOIS,ANG,ECOLE,31,38
01/11/2019,LU,2170,SENNINGERBERG,ANG,DANOIS,3EME VISITE,28,37
01/11/2019,FR,57685,AUGNY-LES-METZ,FR,ALBANAIS,GOOGLE (SAIS PLUS),53,72
01/11/2019,LU,1550,LUXEMBOURG,ESP,ANG,FB,26,26
01/11/2019,LU,1342,LUXEMBOURG,RUSSE,FR,FB,26,26
01/11/2019,LU,5836,ALZINGEN,FR,ANG,LUXEXPO KIDS,29,29
01/11/2019,FR,57120,ROMBAS,FR,ANG,ECOLE,27,29
01/11/2019,LU,1858,LUXEMBOURG,NL,IT,B.A.O.,42,50
01/11/2019,FR,67000,STRASBOURG,FR,DE,GOOGLE - WHAT TO DO IN Luxembourg,32,30
01/11/2019,SLOVENIE,1000,LJUBLJANA,SLOVENE,ANG,B.A.O.,140,223
01/11/2019,DE,67661,KAISERSLAUTERN,ANG,ANG,FB,108,172
01/11/2019,FR,3337,HELLANGE,LUX,DE,INSTAGRAM,19,23
01/11/2019,LU,6786,GREVENMACHER,ESP,ANG,B.A.O.,39,54
01/11/2019,LU,3398,ROESER,IT,ANG,4EME VISITE,24,27
01/11/2019,LU,8080,BERTRANGE,IT,ANG,LUXEXPO KIDS,21,25
01/11/2019,LU,1354,LUXEMBOURG,TAMIL,ANG,2EME VISITE,27,32
01/11/2019,FR,54260,TELLANCOURT,FR,ANG,B.A.O.,40,36
01/11/2019,LU,4282,ESCH-SUR-ALZETTE ,FR,ANG,FB,11,7
01/11/2019,LU,2468,LUXEMBOURG,TCHEQUE,ANG,B.A.O.,28,29
01/11/2019,LU,3243,BETTEMBOURG,ROUMAIN,ANG,INTERNET (SAIS PLUS),20,20
01/11/2019,LU,4973,DIPPACH,DE,FR,GOOGLE - WHAT TO DO IN Luxembourg,18,13
01/11/2019,LU,6985,HOSTERT,POLONAIS,DE,FB,30,38
01/11/2019,LU,6910,ROODT-SUR-SYRE,SLOVAQUE,FR,B.A.O.,34,45
01/11/2019,LU,3238,BETTEMBOURG,ROUMAIN,ANG,B.A.O.,21,21
01/11/2019,LU,1223,HOWALD,HONGROIS,ANG,GOOGLE - WHAT TO DO IN,22,26
01/11/2019,FR,54000,NANCY,FR,ANG,GOOGLE (SAIS PLUS),82,116
01/11/2019,LU,6147,JUNGLINSTER,DE,ANG,B.A.O.,37,44
01/11/2019,LU,1370,LUXEMBOURG,RUSSE,FR,B.A.O.,23,26
01/11/2019,LU,8289,KEHLEN,ANG,IT,FB,30,24
01/11/2019,LU,8087,BERTRANGE,IT,ANG,FB,24,20
01/11/2019,FR,94480,ABLON-SUR-SEINE,FR,ANG,SITE WEB,,
01/11/2019,LU,2222,LUXEMBOURG,FR,ANG,Presse REVUE CITY LUX,28,33
01/11/2019,LU,8112,STRASSEN,POLONAIS,ANG,FB,24,29
01/11/2019,LU,3720,RUMELANGE,FR,LUX,SCIENCE CLUB,20,16
01/11/2019,LU,5430,LENNINGEN,ANG,FR,FB,37,45
01/11/2019,FR,57220,FOULIGNY,FR,DE,B.A.O.,64,91
01/11/2019,LU,4573,DIFFERDANGE,PT,FR,Passage HABITANT,2,0,4
01/11/2019,LU,8140,BRIDEL,LUX,DE,4EME VISITE,26,31
01/11/2019,LU,9171,MICHELAU,ANG,LUX,FB,54,73
01/11/2019,LU,8274,KEHLEN,IT,FR,ECOLE,30,37
01/11/2019,LU,4268,ESCH-SUR-ALZETTE ,POLONAIS,ANG,ECOLE,12,10
01/11/2019,LU,5244,SANDWEILER,ANG,FR,INTERNET (SAIS PLUS),26,33
01/11/2019,FR,54690,EULMONT,FR,ANG,ECOLE,81,114
01/11/2019,LU,8253,MAMER,FR,FR,5EME,27,19
01/11/2019,LU,7716,COLMAR-BERG,ANG,FR,GOOGLE MAPS,40,57
01/11/2019,LU,1941,LUXEMBOURG,SLOVENE,ANG,5EME,20,24
01/11/2019,LU,1912,LUXEMBOURG,POLONAIS,FR,B.A.O.,27,34
01/11/2019,LU,8049,STRASSEN,SLOVENE,ANG,B.A.O.,24,27
01/11/2019,LU,8328,CAPELLEN,LUX,ANG,FB,26,33
01/11/2019,LU,7545,BERINGEN,RUSSE,FR,FB,38,49
01/11/2019,LU,6587,STEINHEIM,LUX,ANG,3EME VISITE,54,67
01/11/2019,LU,7264,HELMSANGE,FR,ANG,FB,32,35
01/11/2019,DE,54317,OSBURG,FR,DE,B.A.O.,59,91
01/11/2019,LU,1221,LUXEMBOURG,TCHEQUE,ANG,FB,30,35
01/11/2019,FR,57390,AUDUN-LE-TICHE,UKRAINIEN,FR,FB,14,11
01/11/2019,LU,6940,NIEDERANVEN,ANG,ESTONIEN,INTERNET (SAIS PLUS),30,41
01/11/2019,FR,57100,THIONVILLE,FR,FR,BAO CONNAISSANCE GUILLAUME,36,41
01/11/2019,FR,57100,THIONVILLE,FR,ANG,BAO CONNAISSANCE GUILLAUME,36,41
01/11/2019,FR,57330,ESCHERANGE,FR,ESP,BAO CONNAISSANCE GUILLAUME,25,29
01/11/2019,FR,57100,THIONVILLE,FR,DE,BAO CONNAISSANCE GUILLAUME,37,41
01/11/2019,LU,4499,LIMPACH,PT,LUX,INTERNET (SAIS PLUS),11,9
01/11/2019,LU,1834,LUXEMBOURG,FR,ANF,B.A.O.,22,25
01/11/2019,LU,6793,GREVENMACHER,RUSSE,ANF,ECOLE,38,54
01/11/2019,LU,8381,KLEINBETTINGEN,CHINOIS,ANF,FB,22,18
01/11/2019,LU,4969,BETTANGE-SUR-MESS,LUX,FR,ECOLE,17,13
01/11/2019,LU,5376,SCHUTTRANGE,DE,ANG,ECOLE,31,41
01/11/2019,FR,57920,BUDING,FR,DE,FB,56,62
01/11/2019,FR,57390,AUDUN-LE-TICHE,FR,IT,B.A.O.,14,11
01/11/2019,LU,8415,STEINFORT,IT,ANG,FB,27,20
01/11/2019,LU,2111,LUXEMBOURG,IT,FR,FB,21,24
01/11/2019,LU,5316,CONTERN,GREC,ANG,INTERNET (SAIS PLUS),29,36
01/11/2019,LU,7593,BERINGEN,PT,ANG,INTERNET (SAIS PLUS),41,50
01/11/2019,FR,54190,BOURENE,FR,ARABE,MARI TRAV. A COTE,13,10
01/11/2019,LU,4418,SANEM,LUX,FR,PASSAGE,7,4
01/11/2019,LU,8028,STRASSEN,FR,SUEDOIS,INTERNET (SAIS PLUS),23,26
01/11/2019,FR,57290,FAMECK,FR,FR,INTERNET (SAIS PLUS),35,38
01/11/2019,FR,57970,YUTZ,FR,FR,FB,37,45
01/11/2019,FR,57100,THIONVILLE,FR,ANG,B.A.O.,37,41
01/11/2019,LU,3358,LEUDELANGE,FR,ANG,B.A.O.,22,18
01/11/2019,LU,7240,BERELDANGE,ROUMAIN,FR,INSTAGRAM,27,33
01/11/2019,LU,7771,BISSEN,LUX,FR,JOURNAL,42,56
01/11/2019,LU,8013,STRASSEN,FR,NL,INTERNET (SAIS PLUS),22,26
01/11/2019,FR,57570,HAGEN,FR,DE,B.A.O.,36,36
01/11/2019,FR,57700,NEUFCHEF,FR,ARABE,FB,40,46
01/11/2019,LU,4046,ESCH-SUR-ALZETTE ,LUX,LUX,BAO CONNAISSANCE NADIA,11,7
01/11/2019,DE,54329,KONY,DE,ANG,INTERNET (SAIS PLUS),63,76
01/11/2019,LU,6917,ROODT-SUR-SYRE,LUX,ESP,ECOLE,36,46
01/11/2019,LU,4022,ESCH-SUR-ALZETTE ,PT,LUX,PASSAGE,15,10
01/11/2019,BE,4880,LAMADELAINE,FR,ANG,INTERNET (SAIS PLUS),11,7
01/11/2019,LU,6550,BERDORF,LUX,ESP,FB,48,60
01/11/2019,FR,57940,VOLSTROFF,FR,ANG,Presse TV,41,54
01/11/2019,FR,57440,ANGEVILLERS,FR,ANG,FB,29,28
01/11/2019,LU,1265,LUXEMBOURG,RUSSE,FR,10EME VISITE,19,24
