DATE,PAYS,CODE_POSTAL,LOCALITE,LANGUE1,LANGUE2,LANGUE3,LANGUE4,LANGUE5,COMMENT_NOUS_AVEZ-VOUS_DECOUVERT,MIN,KM
13/10/2017,LUX,8447,STEINSEL,ALLEMAND,LUXEMBOURGEOIS,,,,,30,36
18/10/2017,LUX,4220,ESCH-SUR-ALZETTE,ALLEMAND,FRANCAIS,LUXEMBOURGEOIS,,,FACEBOOK,11,10
18/10/2017,LUX,7661,MEDERNACH,ALLEMAND,FRANCAIS,LUXEMBOURGEOIS,,,B.A.O.,45,57
22/10/2017,LUX,4266,ESCH-SUR-ALZETTE,ALLEMAND,LUXEMBOURGEOIS,,,,B.A.O.,11,10
22/10/2017,LUX,1519,Luxembourg,ALLEMAND,,,,,B.A.O.,23,26
23/10/2017,LUX,1516,Luxembourg,ALLEMAND,,,,,B.A.O.,23,26
24/10/2017,LUX,3346,LEUDELANGE,ALLEMAND,LUXEMBOURGEOIS,,,,FACEBOOK,16,19
28/10/2017,LUX,4439,SOLEUVRE,ALLEMAND,FRANCAIS,RUSSE,,,B.A.O.,6,4
29/10/2017,DEU,67661,WALDLEININGEN,ALLEMAND,RUSSE,,,,FACEBOOK,115,182
30/10/2017,DEU,60594,FRANKFURT,ALLEMAND,ANGLAIS,,,,FACEBOOK,170,281
31/10/2017,LUX,3440,DUDELANGE,ALLEMAND,ANGLAIS,LUXEMBOURGEOIS,AFRICAIN,,FACEBOOK,19,23
03/11/2017,LUX,8279,HOLZEM,ALLEMAND,ANGLAIS,FRANCAIS,LUXEMBOURGEOIS,,MEDIA,21,16
04/11/2017,LUX,3490,DUDELANGE,ALLEMAND,LUXEMBOURGEOIS,,,,MEDIA,19,23
04/11/2017,LUX,4069,ESCH-SUR-ALZETTE,ALLEMAND,PORTUGAIS,LUXEMBOURGEOIS,,,INTERNET,11,10
04/11/2017,LUX,6783,GREVENMACHER,ALLEMAND,LUXEMBOURGEOIS,,,,ENTREPRISE,34,53
05/11/2017,LUX,4650,DIFFERDANGE,ALLEMAND,FRANCAIS,LUXEMBOURGEOIS,,,CURIOSITE,5,4
05/11/2017,LUX,4580,DIFFERDANGE,ALLEMAND,FRANCAIS,ITALIEN,LUXEMBOURGEOIS,,CURIOSITE,5,4
05/11/2017,DEU,4570,DIFFERDANGE,ALLEMAND,LUXEMBOURGEOIS,,,,INTERNET,5,4
05/11/2017,LUX,4687,DIFFERDANGE,ALLEMAND,FRANCAIS,LUXEMBOURGEOIS,,,CURIOSITE,5,4
05/11/2017,LUX,6790,GREVENMACHER,ALLEMAND,ANGLAIS,FRANCAIS,LUXEMBOURGEOIS,,B.A.O.,34,53
05/11/2017,LUX,7230,HELMSANGE,ALLEMAND,ANGLAIS,FRANCAIS,LUXEMBOURGEOIS,,B.A.O.,31,41
05/11/2017,LUX,5960,ITZIG,ALLEMAND,ANGLAIS,PORTUGAIS,LUXEMBOURGEOIS,,INTERNET,25,35
05/11/2017,LUX,3939,MONDERCANGE,ALLEMAND,RUSSE,LUXEMBOURGEOIS,,,CURIOSITE,12,13
05/11/2017,LUX,6942,NIEDERANVEN,ALLEMAND,ANGLAIS,FRANCAIS,LUXEMBOURGEOIS,,B.A.O.,27,41
05/11/2017,LUX,4760,PETANGE,ALLEMAND,ANGLAIS,FRANCAIS,LUXEMBOURGEOIS,,INTERNET,9,6
05/11/2017,LUX,5376,UEBERSYREN,ALLEMAND,FRANCAIS,LUXEMBOURGEOIS,,,AMIS,29,41
05/11/2017,LUX,5495,WINTRANGE,ALLEMAND,FRANCAIS,,,,B.A.O.,30,39
06/11/2017,LUX,1111,Luxembourg,ALLEMAND,LUXEMBOURGEOIS,,,,INTERNET,23,26
11/11/2017,LUX,3352,LEUDELANGE,ALLEMAND,ANGLAIS,,,,B.A.O.,16,19
12/11/2017,DEU,54338,CUSTINES,ALLEMAND,,,,,INTERNET,73,117
19/11/2017,LUX,4687,DIFFERDANGE,ALLEMAND,LUXEMBOURGEOIS,,,,B.A.O.,5,4
19/11/2017,LUX,1642,Luxembourg,ALLEMAND,ANGLAIS,POLONAIS,,,INTERNET,23,26
21/11/2017,LUX,4483,SOLEUVRE,ALLEMAND,FRANCAIS,LUXEMBOURGEOIS,,,B.A.O.,6,4
