DATE,PAYS,CODE POSTAL,LOCALITE,LANGUE MATERNELLE,LANGUE VEHICULAIRE,COMMENT NOUS AVEZ-VOUS DECOUVERT?,MIN,KM
01/02/2019,LU,3280,BETTEMBOURG,FR,FR,MONSIEUR QUI VIENT PRESQUE TOUTS LES VENDREDIS,,
02/02/2019,LU,1349,LUXEMBOURG,DE,FR,Science Center NEUMöNSTER,21,26
02/02/2019,BE,6700,ARLON,LUX,ANG,ECOLE,30,26
02/02/2019,FR,57180,TERVILLE,FR,ANG,Presse REPUBLICAIN LORRAIN,27,38
02/02/2019,DE,54298,EISENACH,ANG,DE,ECOLE,51,80
02/02/2019,LU,4750,PETANGE,PT,LUX,ECOLE,9,5
02/02/2019,LU,8560,SIMMERSCHMELZ,LUX,FR,GOOGLE - QUOI FAIRE AU LUX,43,38
02/02/2019,LU,7721,COLMAR-BERG,POLONAIS,ANG,B.A.O.,40,57
02/02/2019,LU,7713,WELSDORF,LUX,FR,B.A.O.,42,59
02/02/2019,LU,2320,LUXEMBOURG,DE,ANG,B.A.O.,22,25
02/02/2019,LU,8053,BERTRANGE,FR,ANG,4EME VISITE,25,20
02/02/2019,LU,8096,BERTRANGE,NORWEGIEN,ANG,ANNIVERSAIRE AU LSC,23,19
02/02/2019,LU,1611,LUXEMBOURG,LUX,ANG,PASSE A COTE,23,25
02/02/2019,FR,57970,STUCKANGE,FR,FR,STATEC,45,57
02/02/2019,LU,1146,LUXEMBOURG,CHINOIS,FR,B.A.O.,20,23
02/02/2019,LU,3876,SCHIFFLANGE,FR,ANG,INTERNET (SAIS PLUS),13,13
02/02/2019,LU,5880,HESPERANGE,LUX,FR,Presse WORT,21,27
02/02/2019,LU,4609,NIEDERKORN,ANG,SERBE,PASSE A COTE,4,2
03/02/2019,LU,4535,DIFFERDANGE,PT,FR,HABITANT,4,1
03/02/2019,LU,6839,MANTERNACH,LUX,FR,INTERNET (SAIS PLUS),38,56
03/02/2019,FR,67150,NORDHOUSE,FR,ANG,VISIT LUXEMBOURG,146,252
03/02/2019,LU,7381,BOFFERDANGE,LUX,DE,CONNAISSANCE JULIEN,32,37
03/02/2019,LU,7381,BOFFERDANGE,LUX,FR,CONNAISSANCE JULIEN,32,37
03/02/2019,LU,7410,ANGELSBERG,LUX,FR,CONNAISSANCE JULIEN,40,52
03/02/2019,DE,54331,PELLINGEN,ANG,,2EME VISITE,57,78
03/02/2019,DE,54343,FôHREN,DE,ANG,B.A.O.,56,86
03/02/2019,LU,2542,LUXEMBOURG,HUNGARIAN,ANG,2EME VISITE,29,31
03/02/2019,DE,54309,NEWEL,DE,MOSEL-FRANKICH,2EME VISITE,50,75
03/02/2019,LU,4979,KéERJENG,LUX,FR,ECOLE,16,11
03/02/2019,LU,1250,LUXEMBOURG,BULGARE,ANG,GOOGLE - NOTRE SITE,26,27
03/02/2019,FR,57130,DORNOT,FR,DE,GOOGLE (SAIS PLUS),60,82
03/02/2019,LU,6450,ECHTERNACH,DE,ANG,B.A.O,46,61
03/02/2019,LU,4982,RECKANGE-SUR-MESS,LUX,FR,GOOGLE - SCIENCE MUSEUM,15,12
03/02/2019,LU,2734,LUXEMBOURG,ROUMAIN,ANG,INTERNET (SAIS PLUS),22,26
03/02/2019,FR,57100,THIONVILLE,FR,ESP,B.A.O.,34,40
03/02/2019,FR,57570,HAGEN,FR,ANG,TRAVAILLE CHEZ ARCELOR,35,36
03/02/2019,LU,8612,PRATZ,LUX,DE,ECOLE,47,39
03/02/2019,LU,1911,LUXEMBOURG,FR,ANG,SCIENCE FESTIVAL,21,27
03/02/2019,LU,2152,LUXEMBOURG,ANG,DE,3EME VISITE,29,39
03/02/2019,LU,1845,LUXEMBOURG,FR,ANG,6EME,22,25
03/02/2019,LU,2555,LUXEMBOURG,FR,ANG,GOOGLE - WHAT'S ON,20,25
03/02/2019,LU,4750,PETANGE,LUX,FR,ECOLE,10,5
03/02/2019,LU,4665,OBERKORN,LUX,FR,2EME VISITE,7,2
03/02/2019,LU,1270,LUXEMBOURG,FR,ANG,INTERNET (SAIS PLUS),20,25
03/02/2019,LU,1644,LUXEMBOURG,LUX,FR,MR FOYER QUI NOUS A VISITê,28,31
03/02/2019,LU,8065,BERTRANGE,ROUMAIN,FR,MAKERS FEST,22,19
04/02/2019,LU,10134,TORINO,IT,ANG,VISIT LUXEMBOURG,,
05/02/2019,LU,4569,DIFFERDANGE,PT,LUX,HABITE A DIFFERDANGE,4,1
06/02/2019,LU,1050,BRUXELLES,RUSSE,ANG,GOOGLE,131,206
