DATE,PAYS,CODE POSTAL,LOCALITE,LANGUE MATERNELLE,LANGUE VEHICULAIRE,COMMENT NOUS AVEZ-VOUS DECOUVERT?,MIN,KM
01/07/2019,BE,6750,MUSSON,FR,NL,FB,26,19
01/07/2019,BE,6700,ARLON,FR,FR,2ŠME VISITE,26,36
01/07/2019,DE,54634,ALBACH,ANG,ANG,ECOLE,63,95
01/07/2019,NL,1313BW,ALMERE,NL,ANG,GOOGLE,255,412
01/07/2019,SWISS,1423,FONTANEZIER,FR,FR,FAMILLE,298,409
01/07/2019,BE,2812,ANVERS,FR,FR,QUOI FAIRE AU  Luxembourg SITE GOOGLE,111,275
02/07/2019,LU,8448,STEINFORT,ESP,ANG,GOOGLE,30,20
02/07/2019,LU,8495,KEISPELT,FR,LUX,GOOGLE,34,29
03/07/2019,BE,6600,BASTOGNE,IT,FR,GOOGLE,59,83
03/07/2019,LU,2152,LUXEMBOURG,FR,FR,B.A.O.,30,39
03/07/2019,BE,2300,TURNHOUT,NL ,FR ,Luxembourg CARD ,174,276
04/07/2019,FR,50500,VERDUN,FR,FR,GOOGLE MAPS,70,69
05/07/2019,LU,4402,BELVAUX,TCHEQUE,ANG,B.A.O.,8,4,5
05/07/2019,LU,7347,STEINSEL,ESP,FR,B.A.O.,34,36
05/07/2019,DE,54338,SCHWEICH,DE,DE,GOOGLE,57,83
05/07/2019,LU,1471,LUXEMBOURG,LUX,LUX,B.A.O.,22,24
06/07/2019,BE,6700,ARLON,FR,ANG,VISIT LUXEMBOURG,33,27
06/07/2019,FR,57710,AUMETZ,FR,FR,FB,32,21
06/07/2019,LU,4631,DIFFERDANGE,ANG,FR,ECOLE,5,2
07/07/2019,FR,54430,REHON,FR,ANG,B.A.O.,25,20
07/07/2019,DE,13055,BERLIN,DE,ANG,GOOGLE - WHAT TO DO IN Luxembourg,,
07/07/2019,DANEMARK,7430,IKAST,DANOIS,ANG,VISIT LUXEMBOURG,,
07/07/2019,FR,54122,FLIN,FR,ANG,INTERNET (SAIS PLUS),116,177
07/07/2019,FR,57530,VILLERS-STONCOURT,FR,ANG,GOOGLE - SORTIE LUX,67,82
07/07/2019,BE,6717,ATTERT,FR,ANG,VISIT LUXEMBOURG,41,37
08/07/2019,DE,64732,BAD K™NIG,DE,ANG,B.A.O.,207,307
08/07/2019,LU,3790,TETANGE,IRANIEN,LUX,B.A.O.,20,18
08/07/2019,DE,12209,BERLIN,DE,ANG,CAMPING - NOMMERLEIN,,
08/07/2019,FR,57655,BOULANGE,FR,ANG,VISIT LUXEMBOURG,33,25
08/07/2019,LU,6637,MERTERT,PT,ANG,VISIT LUXEMBOURG,46,59
08/07/2019,LU,SAIS PAS,LUXEMBOURG,COREEN,ANG,GOOGLE (SAIS PLUS),,
09/07/2019,FR,57150,CREUTZWALD,FR,ANG,B.A.O.,66,100
09/07/2019,FR,57480,WALDWISSE,FR,DE,B.A.O.,48,51
09/07/2019,FR,57100,THIONVILLE,FR,ESP,B.A.O.,47,41
09/07/2019,FR,57050,LORRY-LES-METZ,FR,ANG,ECOLE,56,65
09/07/2019,CANADA,S7N 0P9,SASKATOON,ANG,FR,VISIT LUXEMBOURG,,
09/07/2019,LU,2629,LUXEMBOURG,FR,ANG,B.A.O.,22,23
09/07/2019,LU,8410,STEINFORT,FR,ANG,JOURNAL (SAIS PLUS),32,20
09/07/2019,FR,54135,MEXY,FR,ANG,B.A.O.,21,17
09/07/2019,FR,55100,VERDUN,ROUMAIN,FR,GOOGLE - MUSEE DES SCIENCES,78,76
09/07/2019,FR,54400,COSNES-ET-ROMAIN,FR,FR,FB,28,23
09/07/2019,LU,2156,LUXEMBOURG,FR,ANG,6EME,33,31
10/07/2019,FR,57710,AUMETZ,FR,ARABE,FB,33,24
11/07/2019,DANEMARK,4534,HORVE,DANOIS,ANG,VISIT LUXEMBOURG,,
11/07/2019,BE,6120,NALINNES,FR,ANG,GOOGLE - ACTIVITES PLUIE Luxembourg,123,182
11/07/2019,DE,20146,HAMBOURG,DE,ANG,GOOGLE - ALTERNATIVES PLUIE,,
11/07/2019,BE,2240,LUXEMBOURG,NL,DE,GOOGLE - SAIS PLUS,27,26
11/07/2019,DE,54441,TEMMELS,DE,LUX,B.A.O.,54,70
11/07/2019,LU,1635,LUXEMBOURG,FR,FR,B.A.O.,27,26
11/07/2019,LU,1534,LUXEMBOURG,FR,FR,B.A.O.,22,23
11/07/2019,LU,6313,BEAUFORT,FR,ANG,VISIT LUXEMBOURG,60,64
11/07/2019,FR,54590,HUSSIGNY,FR,FR,B.A.O.,28,10
11/07/2019,NL,5245 CD,ROSMALEN,NL,ANG,GOOGLE - RAIN ACTIVITIES,202,319
11/07/2019,FR,57860,RONCOURT,FR,ANG,B.A.O.,49,56
11/07/2019,FR,57320,BRETTNACH,FR,ANG,GOOGLE (SAIS PLUS),60,69
11/07/2019,LU,1452,LUXEMBOURG,ANG,ESP,INTERNET (SAIS PLUS),25,25
12/07/2019,LU,5423,GORCY,LUX,DE,ECOLE,32,27
12/07/2019,FR,54400,COSNES-ET-ROMAIN,ANG,LUX,PASSAGE,28,23
12/07/2019,SCHWEIZ,3014,BERN,DE,ANG,FOND NATIONAL,,
12/07/2019,LU,4360,ESCH-SUR-ALZETTE ,ARABE,ANG,FB,18,10
12/07/2019,FR,54190,BREHAIN-LA-VILLE,FR,ANG,GOOGLE - WHAT TO DO IN Luxembourg,26,16
12/07/2019,DE,66706,PERL,DE,ANG,GOOGLE - SCIENCE MUSEUM Luxembourg,46,45
12/07/2019,BE,9242,ZELE,NL,ANG,WEBSITE,176,267
12/07/2019,FR,54350,MONT-ST-MARTIN,FR,ANG,VISIT LUXEMBOURG,26,15
13/07/2019,LU,5371,SCHUTTRANGE,DE,ANG ,Luxembourg WORT ,28,40
13/07/2019,LU,5755,FRISANGE,POLONAIS,FR,GOOGLE,21,27
13/07/2019,DE,54292,TRIER,DE,DE,FB,53,84
13/07/2019,LU,7432,GOSSELDANGE,LUX,LUX,B.A.O.,35,48
13/07/2019,LU,1815,LUXEMBOURG,LUX,LUX,AMIS,23,27
13/07/2019,LU,6212,CONSDORF,LUX,LUX,ECOLE ,23,27
13/07/2019,FR,57480,SIERCK- LES-BAINS,FR,LUX,ECOLE,40,51
13/07/2019,FR,54720,CUTRY,FR,FR,GOOGLE,22,18
13/07/2019,FR,54350,MONT-ST-MARTIN,FR,FR,GOOGLE,21,14
13/07/2019,LU,6830,BERBOURG,LUX,LUX,ECOLE,39,58
13/07/2019,LU,1628,LUXEMBOURG,FR,FR,B.A.O.,25,30
13/07/2019,LU,57100,THIONVILLE,ESP,FR,B.A.O.,34,41
14/07/2019,LU,1215,LUXEMBOURG,DE,DE,GOOGLE,19,25
14/07/2019,DANEMARK,8723,LOSNING,DANOIS,ANG,Luxembourg CARD,,
14/07/2019,FR,54730,GORCY,FR,FR,GOOGLE,26,24
14/07/2019,BE,6700,ARLON,FR,FR,FB,30,26
14/07/2019,LU,4408,BELVAUX,IT,FR,GOOGLE,5,1,8
14/07/2019,LU,8447,STEINFORT,LUX,LUX,4ŠME VISITE,25,21
14/07/2019,LU,4599,DIFFERDANGE,LUX,LUX,3ŠME VISITE ,8,2
14/07/2019,FR,52000,CHAUMONT,FR,FR,GOOGLE,162,260
14/07/2019,BE,6800,LIBRAMONT,FR,FR,2ŠME VISITE,50,71
15/07/2019,FR,57880,VARSBERG,FR,DE,BLOG MONTESSORI,78,100
15/07/2019,LU,4475,BELVAUX,LUX,FR,2EME VISITE,8,5
15/07/2019,LU,9144,HIERHECK,LUX,FR,RADIO (SAIS PLUS),56,50
15/07/2019,LU,4406,BELVAUX,LUX,DE,B.A.O.,10,5
15/07/2019,FR,57190,FLORANGE,FR,FR,GOOGLE - MUSEE SCIENCES,37,39
15/07/2019,FR,57570,HAGEN,FR,ANG,B.A.O.,37,36
15/07/2019,FR,57270,UCKANGE,FR,FR,2EME VISITE,41,46
15/07/2019,DE,66740,SAARLOUIS,DE,ANG,GOOGLE - WHAT TO DO IN Luxembourg,53,82
15/07/2019,LU,7430,FISCHBACH,DANOIS,LUX,ECOLE,46,53
15/07/2019,LU,8479,EISCHEN,LUX,FR,ECOLE,31,30
15/07/2019,LU,2739,LUXEMBOURG,LUX,FR,2EME VISITE,30,27
