DATE,PAYS,CODE POSTAL,LOCALITE,LANGUE MATERNELLE,LANGUE VEHICULAIRE,COMMENT NOUS AVEZ-VOUS DECOUVERT?,MIN,KM
01/06/2019,LU,5753,FRISANGE,FR,LUX,GOOGLE,20,27
01/06/2019,LU,4505,Differdange-NIEDERKORN,FR,FR,6ŠME VISITE ,4,2
01/06/2019,BE,1080,BRUXELLES,FR,FR,TRIPADVISOR,138,213
01/06/2019,FR,54810,LONGLAVILLE,FR,FR,GOOGLE,19,14
01/06/2019,LU,5823,FENTANGE,ROUMAIN,FR,GOOGLE,23,28
01/06/2019,DE,54309,NEWEL,DE,DE,2ŠME VISITE,48,77
01/06/2019,LU,1232,LUXEMBOURG,ANG,FR,FB,22,27
01/06/2019,LU,4910,HAUTSCHARAGE,LUX,LUX,FOYER SCOLAIRE ,12,7
02/06/2019,DE,61118,BAD VILBEL,ANG,ANG,TRIPADVISOR,164,295
02/06/2019,DE,60437,FRANKFURT - MAIN,DE,DE,B.A.O SA FILLE EST DANS UN SPORT A DIFFERDANGE PAPA FAIT UN TOUR AU LSC ,145,267
02/06/2019,FR,94520,MANDRES-LES-ROSES,FR,FR,Luxembourg CARD ( VACANCES AU Luxembourg ),197,343
02/06/2019,AUTRICHE,1070,VIENNE,DE,DE,QUOI FAIRE AU  Luxembourg ,,
02/06/2019,DE,54298,EISENACH,DE,DE,SCIENCE FESTIVAL,52,84
02/06/2019,DE,66682,V™LKLINGEN,ANG,ANG,GOOGLE,58,97
02/06/2019,DE,66111,SARRBRšCKEN,DE,DE,Presse ZEITUNG FORUM,65,106
02/06/2019,LU,8523,BECKERICH,ESP,FR,PASSAGE,35,34
02/06/2019,DE,51375,LEVERKUSEN,ANG,DE,GOOGLE,158,250
02/06/2019,LU,2435,LUXEMBOURG,RUSSE,FR,FB,27,35
04/06/2019,LU,4971,BASCHARAGE,LUX,LUX,BAO PAPA DE THIERRY ,16,12
06/06/2019,LU,1270,LUXEMBOURG,LUX,LUX,GOOGLE,25,24
07/06/2019,FR,54920,VILLERS-LES-MONTAGNE,FR,FR,INSTAGRAM,21,11
08/06/2019,LU,4360,ESCH-SUR-ALZETTE ,RUSSE,FR,INTERNET (SAIS PLUS),13,7
08/06/2019,LU,7220,WALFERDANGE,FR,ANG,VISIT LUXEMBOURG,40,31
08/06/2019,LU,2210,LUXEMBOURG,ANG,FR,2EME VISITE,30,24
08/06/2019,LU,6637,WASSERBILLIG,BULGARE,FR,INTERNET (SAIS PLUS),48,64
08/06/2019,LU,1858,LUXEMBOURG,BULGARE,ESP,FB,39,28
08/06/2019,BE,6792,AUBANGE,FR,ANG,GOOGLE (SAIS PLUS),23,18
08/06/2019,FR,57180,TERVILLE,HONGROIS,FR,2EME VISITE,32,39
08/06/2019,LU,2142,LUXEMBOURG,ESP,ANG,B.A.O.,32,33
08/06/2019,LU,1134,LUXEMBOURG,UKRAINIEN,ANG,GOOGLE - WHAT TO DO IN Luxembourg,31,23
08/06/2019,LU,73617,MULLENDORF,FR,ANG,B.A.O.,40,32
08/06/2019,FR,57100,THIONVILLE,FR,ESP,B.A.O.,40,41
08/06/2019,LU,3353,LEUDELANGE,ANG,HINDI,2EME VISITE,23,19
08/06/2019,LU,1409,LUXEMBOURG,FR,ANG,B.A.O.,30,23
09/06/2019,FR,57000,METZ,FR,ANG,GOOGLE - MUSEE LUX,49,69
09/06/2019,NL,2551BR,THE HAGUE,PAKISTANAIS,ANG,VISIT LUXEMBOURG,,
09/06/2019,LU,5480,WORMELDANGE,LUX,FR,3EME VISITE,42,60
09/06/2019,BE,5100,NAMUR,ROUMAIN,FR,B.A.O.,86,143
09/06/2019,BE,6700,ARLON,ROUMAIN,FR,2EME VISITE,30,26
09/06/2019,LU,2435,LUXEMBOURG,RUSSE,ANG,FB,34,38
09/06/2019,BE,3440,DUDELANGE,NL,FR,GOOGLE - WHAT TO DO IN Luxembourg,19,20
09/06/2019,FR,54880,THIONVILLE,FR,FR,5EME VISITE ,16,11
09/06/2019,FR,67150,NORDHOUSE,FR,ANG,B.A.O.,148,252
09/06/2019,LU,7340,HESIDORF,FR,ANG,PRESSE ,39,31
09/06/2019,LU,2452,LUXEMBOURG,ANG,ESP,INTERNET (SAIS PLUS),26,32
09/06/2019,LU,1747,LUXEMBOURG,SUEDOIS,ANG,FB,28,37
09/06/2019,LU,4771,PETANGE,PT,LUX,ECOLE,10,6
09/06/2019,LU,6962,NIEDERANVEN,LUX,FR,ECOLE,32,47
10/06/2019,LU,6723,GREVENMACHER,LUX,LUX,B.A.O,39,59
10/06/2019,DE,54457,WINCHERINGEN,LUX,LUX,FB,41,52
10/06/2019,LU,6190,GONDERANGE,POLONAIS,FR,BAO AMIS,35,47
10/06/2019,LU,3573,DUDELANGE,POLONAIS,FR,FB,17,19
10/06/2019,DE,54441,WELLEN,DE,DE,GOOGLE,39,60
10/06/2019,DE,66693,METTLACH,DE,DE,BAO AMIS,43,67
10/06/2019,LU,7622,LAORCHETTE,ANG,ANG,FB,47,60
