DATE,PAYS,CODE POSTAL,LOCALITE,LANGUE MATERNELLE,LANGUE VEHICULAIRE,COMMENT NOUS AVEZ-VOUS DECOUVERT?,MIN,KM
01/10/2019,DE,54298,AACH,ROUMAIN,ANG,B.A.O.,67,80
01/10/2019,DE,54456,TAWERN,DE,ANG,B.A.O.,58,62
01/10/2019,LU,4999,SPRINKANGE,LUX,FR,B.A.O.,17,10
01/10/2019,LU,7357,HELMDANGE,LUX,FR,B.A.O.,39,46
01/10/2019,DENMARK,2600,GLOSTRUP,DANOIS,ANG,B.A.O.,,
01/10/2019,FR,57390,AUDUN-LE-TICHE,FR,FR,GOOGLE - WHAT TO DO IN Luxembourg,16,11
01/10/2019,LU,2432,LUXEMBOURG,ARABE,FR,GOOGLE - ACTIVITEES Luxembourg,23,23
02/10/2019,LU,6743,GREVENMACHER,DE,LUX,GOOGLE - SCIENCE MUSEUM Luxembourg,40,53
02/10/2019,LU,3346,LEUDELANGE,DE,ANG,ECOLE,15,17
02/10/2019,DE,54338,SCHWEICH,DE,ANG,3EME VISITE,57,83
02/10/2019,DE,54441,TEMMELS,DE,ANG,Presse MUSEL ZEITUNG,54,66
02/10/2019,DE,56269,DIERDORF,DE,ANG,GOOGLE - WHAT TO DO IN Luxembourg,150,233
03/10/2019,DE,66424,HOMBOURG,DE,FR,INTERNET (SAIS PLUS),82,132
03/10/2019,DE,66265,HEUSWEILER,DE,ANG,INTERNET (SAIS PLUS),61,98
03/10/2019,LU,3333,HELLANGE,DE,ANG,INTERNET (SAIS PLUS),17,22
03/10/2019,LU,1948,LUXEMBOURG,FR,ANG,ECOLE,20,24
04/10/2019,DE,65189,WIESBADEN,DE,ANG,VISIT LUXEMBOURG,148,262
05/10/2019,BE,6791,ATHUS,FR,ANG,GOOGLE - WHAT DO TO,16,10
05/10/2019,LU,5373,SCHUTTRANGE,POLONAIS,ANG,FB,30,39
05/10/2019,LU,1456,LUXEMBOURG,BULGARE,ANG,B.A.O.,25,28
05/10/2019,DE,38820,HALBERSTADT,DE,ANG,B.A.O.,,
05/10/2019,FR,57100,THIONVILLE,FR,ANG,ECOLE,37,41
05/10/2019,LU,1311,LUXEMBOURG,PT,ANG,2EME VISITE,19,24
05/10/2019,LU,1550,LUXEMBOURG,FR,ANG,ECOLE,26,27
