DATE,PAYS,CODE POSTAL,LOCALITE,LANGUE MATERNELLE,LANGUE VEHICULAIRE,COMMENT NOUS AVEZ-VOUS DECOUVERT?,MIN,KM
01/09/2019,FR,57180,TERVILLE,HONGROIS,FR,3EME VISITE,27,39
01/09/2019,FR,57185,VITRY-SUR-ORNE,FR,ANG,VISIT LUXEMBOURG,40,46
01/09/2019,LU,1550,LUXEMBOURG,DE,ANG,3EME VISITE,19,24
01/09/2019,LU,8366,HAGEN,LUX,ROUMAIN,B.A.O.,23,18
01/09/2019,LU,5760,HASSEL,FR,ANG,2EME VISITE,26,32
02/09/2019,LU,3588,DUDELANGE,FR,ANG,B.A.O.,16,18
02/09/2019,LU,6169,ESCHWEILER,ANG,DE,VISIT LUXEMBOURG,42,47
02/09/2019,LU,3235,BETTEMBOURG,POLONAIS,ANG,ECOLE,21,24
02/09/2019,LU,3210,BETTEMBOURG,LUX,DE,3EME VISITE,21,24
02/09/2019,LU,4514,DIFFERDANGE,UKRAINIEN,RUSSE,B.A.O.,5,2
02/09/2019,LU,9233,DIEKIRCH,LUX,PT,GOOGLE - WHAT TO DO IN Luxembourg,54,67
03/09/2019,LU,9170,MERTZIG,LUX,FR,2EME VISITE,51,62
03/09/2019,LU,3721,RUMELANGE,DE,ANG,2EME VISITE,21,20
03/09/2019,LU,7381,BOFFERDINGEN,LUX,FR,2EME VISITE,35,38
04/09/2019,LU,4950,KAERJENG,LUX,FR,WORT,15,7
04/09/2019,LU,1452,LUXEMBOURG,CHINOIS,LUX,ECOLE,22,25
04/09/2019,LU,4692,DIFFERDANGE,LUX,FR,2EME VISITE,5,2
04/09/2019,LU,4970,BETTANGE-SUR-MESS,LUX,FR,3EME VISITE,17,13
04/09/2019,LU,1742,LUXEMBOURG,FR,ANG,B.A.O.,29,30
05/09/2019,LU,5891,FENTANGE,FR,POLONAIS,Presse L'ESSENTIEL,24,28
05/09/2019,ANG,,PERSHORE,ANG,ANG,B.A.O.,,
05/09/2019,FR,63110,CLERMONT-FERRAND,FR,ANG,ECOLE,,
05/09/2019,LU,1628,LUXEMBOURG,LUX,ANG,BAO AMIS MAUDE,27,27
05/09/2019,LU,1687,LUXEMBOURG,LUX,FR,ECOLE,,
05/09/2019,LU,4113,ESCH-SUR-ALZETTE ,LUX,FR,GOOGLE,12,10
05/09/2019,LU,4924,HAUTCHARAGE,RUSSE,DE,INTERNET (SAIS PLUS),13,8
06/09/2019,LU,5241,SANDWEILER,FINISH,ANG,B.A.O.,32,35
07/09/2019,LU,1353,HOWALD,FR,LUX,ECOLE,22,26
07/09/2019,LU,6810,CHINY,FR,ESP,B.A.O.,51,52
07/09/2019,FR,57590,AJONCOURT,FR,ANG,B.A.O.,70,98
07/09/2019,LU,4640,DIFFERDANGE,LUX,FR,PASSAGE,4,2
07/09/2019,LU,5836,ALZINGEN,IT,ANG,B.A.O.,25,29
07/09/2019,LU,9122,SCHIEREN,LUX,DE,GOOGLE - MR SCIENCE,43,62
08/09/2019,LU,1650,LUXEMBOURG,FR,IT,Presse RADIO (SAIS PLUS),21,25
08/09/2019,LU,9168,MERTZIG,LUX,DE,B.A.O.,50,63
08/09/2019,LU,2222,LUXEMBOURG,POLONAIS,ANG,B.A.O.,26,33
08/09/2019,FR,57070,METZ,FR,ANG,GOOGLE (SAIS PLUS),48,69
08/09/2019,LU,1833,LUXEMBOURG,LUX,FR,Presse L'ESSENTIEL,24,28
08/09/2019,FR,54400,COSNES-ET-ROMAIN,FR,ANG,B.A.O.,22,20
08/09/2019,LU,2451,LUXEMBOURG,FR,ANG,JUSTARRIVED.LU,22,25
08/09/2019,LU,4571,DIFFERDANGE,FR,ANG,PASSAGE,4,2
08/09/2019,LU,1550,LUXEMBOURG,PT,ANG,ECOLE,25,26
08/09/2019,LU,8614,REIMBERG,FR,ANG,2EME VISITE,47,41
08/09/2019,FR,57100,THIONVILLE,FR,ANG,4EME VISITE,34,41
08/09/2019,LU,9366,ERMSDORF,PT,LUX,B.A.O.,50,59
08/09/2019,LU,1469,LUXEMBOURG,DE,ANG,JONK FUERSCHER,26,27
08/09/2019,LU,3397,ROESER,FR,LUX,F.S.E.,23,27
09/09/2019,LU,6915,ROODT-SUR-SYRE,LUX,FR,B.A.O.,37,46
09/09/2019,LU,4514,DIFFERDANGE,LUX,FR,B.A.O.,4,1
09/09/2019,LU,7257,WALFERDANGE,POLONAIS,ANG,2EME VISITE,33,26
09/09/2019,LU,8020,STRASSEN,FR,ANG,4EME VISITE,23,26
09/09/2019,LU,8224,MAMER,RUSSE,ANG,B.A.O.,26,26
09/09/2019,LU,5405,BECH-KLEINMACHER,PT,FR,FB,31,40
,,,,,,,,
10/09/2019,LU,3675,KAYL,LUX,DE,B.A.O.,18,17
10/09/2019,LU,4460,SANEM,ROUMAIN,FR,2EME VISITE,6,4
10/09/2019,LU,1475,LUXEMBOURG,LUX,DE,B.A.O.,29,26
10/09/2019,LU,4995,SCHOUWEILER,PT,FR,3EME VISITE,18,10
