DATE,PAYS,CODE,LOCALITE,LANGUE_MATERNELLE,LANGUE_VEHICULAIRE,COMMENT_NOUS_AVEZ_VOUS_DECOUVERT,MIN,KM
13/10/2017,LUX,4527,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,,5,4
13/10/2017,LUX,4660,DIFFERDANGE,LUXEMBOURGEOIS/FRANCAIS,ANGLAIS,,5,4
13/10/2017,LUX,8447,STEINSEL,LUXEMBOURGEOIS,ALLEMAND,,30,36
14/10/2017,LUX,6922,BERG (BETZDORF),LUXEMBOURGEOIS,LUXEMBOURGEOIS,,35,50
14/10/2017,LUX,3315,BERGEM,LUXEMBOURGEOIS,LUXEMBOURGEOIS,,14,15
14/10/2017,LUX,3315,BERGEM,LUXEMBOURGEOIS,LUXEMBOURGEOIS,,14,15
14/10/2017,LUX,8060,BERTRANGE,ANGLAIS,ANGLAIS,,24,20
14/10/2017,FRA,54680,CRUSNES  ERROUVILLE,FRANCAIS,FRANCAIS,,24,31
14/10/2017,LUX,4670,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,,5,4
14/10/2017,LUX,4046,ESCH-SUR-ALZETTE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,,11,10
14/10/2017,LUX,1467,HOWALD,FRANCAIS,FRANCAIS,,21,26
14/10/2017,LUX,6122,JUNGLINSTER,ANGLAIS,ANGLAIS,,31,43
14/10/2017,FRA,54810,LONGLAVILLE,FRANCAIS,FRANCAIS,,10,5
14/10/2017,LUX,1912,Luxembourg,ANGLAIS,ANGLAIS,,23,26
14/10/2017,FRA,54650,SAULNES,FRANCAIS,FRANCAIS,,18,13
14/10/2017,LUX,8044,STRASSEN,FRANCAIS,FRANCAIS,,19,26
15/10/2017,LUX,7788,BISSEN,LUXEMBOURGEOIS,LUXEMBOURGEOIS,,38,55
15/10/2017,LUX,7733,COLMAR-BERG,LUXEMBOURGEOIS,LUXEMBOURGEOIS,,41,59
15/10/2017,LUX,4123,ESCH-SUR-ALZETTE,PORTUGAIS,PORTUGAIS,,11,10
15/10/2017,LUX,4123,ESCH-SUR-ALZETTE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,,11,10
15/10/2017,LUX,4020,ESCH-SUR-ALZETTE,FRANCAIS,FRANCAIS,,11,10
15/10/2017,LUX,6116,JUNGLINSTER,LUXEMBOURGEOIS,LUXEMBOURGEOIS,,31,43
15/10/2017,LUX,2652,Luxembourg,FRANCAIS,FRANCAIS,,23,26
15/10/2017,LUX,2153,LUxembourg,LUXEMBOURGEOIS,LUXEMBOURGEOIS,,23,26
15/10/2017,LUX,4420,SOLEUVRE,FRANCAIS,FRANCAIS,,6,4
15/10/2017,FRA,54190,VILLERUPT  TIERCELET,PORTUGAIS,FRANCAIS/PORTUGAIS,,17,12
16/10/2017,FRA,55470,SAUDRUPT,FRANCAIS,ANGLAIS,PRESSE,122,134
18/10/2017,LUX,4220,ESCH-SUR-ALZETTE,LUXEMBOURGEOIS,ALLEMAND/FRANCAIS,FACEBOOK,11,10
18/10/2017,LUX,7661,MEDERNACH,LUXEMBOURGEOIS,ALLEMAND/FRANCAIS,B.A.O.,45,57
19/10/2017,LUX,4606,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,PRESSE,5,4
19/10/2017,LUX,4501,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,ECOLE,5,4
20/10/2017,BEL,6791,Aubange,FRANCAIS,FRANCAIS,PRESSE,15,14
20/10/2017,LUX,4551,DIFFERDANGE,LUXEMBOURGEOIS/FRANCAIS,FRANCAIS,PRESSE,5,4
20/10/2017,LUX,4020,ESCH-SUR-ALZETTE,LUXEMBOURGEOIS/FRANCAIS,FRANCAIS,PRESSE,11,10
21/10/2017,LUX,4462,BELVAUX,NEERLANDAIS,ANGLAIS,FACEBOOK,8,5
21/10/2017,LUX,4431,BELVAUX,LUXEMBOURGEOIS,FRANCAIS,SITE,8,5
21/10/2017,LUX,1541,Luxembourg,FRANCAIS,LUXEMBOURGEOIS,MEDIA,23,26
21/10/2017,LUX,9188,VICHTEN,LUXEMBOURGEOIS,FRANCAIS,MEDIA,44,61
22/10/2017,LUX,4266,ESCH-SUR-ALZETTE,LUXEMBOURGEOIS,ALLEMAND,B.A.O.,11,10
22/10/2017,FRA,57290,FAMECK  SERêMANGE,FRANCAIS,ANGLAIS,B.A.O.,36,52
