DATE,PAYS,CODE_POSTAL,LOCALITE,LANGUE_MATERNELLE,LANGUE_VEHICULAIRE,COMMENT_NOUS_AVEZ_VOUS_DECOUVERT,MIN,KM
16/08/2019,LUX,4575,DIFFERDANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,10e_visite,4,2
20/10/2019,LUX,4418,SANEM,LUXEMBOURGEOIS,LITUANIEN,10e_visite,6,4
01/11/2019,LUX,1265,LUXEMBOURG,RUSSE,ANGLAIS/FRANCAIS,10e_visite,19,24
02/01/2019,LUX,3327,CRAUTHEM,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,22,26
02/01/2019,LUX,5886,ALZINGEN,FRANCAIS,ANGLAIS,2e_visite,25,28
02/01/2019,LUX,4058,ESCH SUR ALZETTE ,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,17,10
03/01/2019,LUX,9189,VICHTEN,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,45,61
03/01/2019,FRA,57330,KANFEN,ESPAGNOL,FRANCAIS,2e_visite,23,28
05/01/2019,FRA,57100,THIONVILLE,FRANCAIS,FRANCAIS,2e_visite,36,40.7
05/01/2019,LUX,1244,LUXEMBOURG,LUXEMBOURGEOIS,ALLEMAND,2e_visite,25,28
05/01/2019,LUX,8028,STRASSEN,LUXEMBOURGEOIS,ALLEMAND,2e_visite,24,26.6
05/01/2019,LUX,4970,BETTANGE-SUR-MESS,LUXEMBOURGEOIS,FRANCAIS,2e_visite,15,12.4
06/01/2019,LUX,6120,JUNGLINSTER,LUXEMBOURGEOIS,ALLEMAND/FRANCAIS,2e_visite,33,43.9
06/01/2019,LUX,2342,LUXEMBOURG,LUXEMBOURGEOIS,ANGLAIS,2e_visite,18,24.3
06/01/2019,LUX,1549,LUXEMBOURG,UKRAINIEN,ANGLAIS,2e_visite,23,26.3
07/01/2019,LUX,8009,STRASSEN,ALBANAIS,FRANCAIS,2e_visite,20,25.4
12/01/2019,LUX,1250,LUXEMBOURG,ANGLAIS,ANGLAIS,2e_visite,19,22.6
12/01/2019,BEL,6790,AUBANGE,LUXEMBOURGEOIS,FRANCAIS,2e_visite,19,12
13/01/2019,FRA,57330,HETTANGE-GRANDE,FRANCAIS,FRANCAIS,2e_visite,24,31
13/01/2019,LUX,3428,DUDELANGE,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,18,20
13/01/2019,FRA,54440,HERSERANGE,FRANCAIS,FRANCAIS,2e_visite,17,13
14/01/2019,LUX,8293,KEISPELT,NERLANDAIS,ALLEMAND/ANGLAIS/FRANCAIS/LUXEMBOURGEOIS ,2e_visite,32,37
15/01/2019,LUX,4480,BELVAUX,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,8,4.7
19/01/2019,LUX,7230,HELMSANGE,TCHEQUE,FRANCAIS/LUXEMBOURGEOIS,2e_visite,30,35
20/01/2019,LUX,1541,LUXEMBOURG,ESPAGNOL,FRANCAIS,2e_visite,22,27.7
20/01/2019,LUX,7220,WALFERDANGE,FRANCAIS,ANGLAIS,2e_visite,30,35.6
20/01/2019,LUX,7224,WALFERDANGE,ALLEMAND,FRANCAIS,2e_visite,32,35.9
26/01/2019,LUX,3327,CRAUTHEM,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,21,26
26/01/2019,LUX,1250,LUXEMBOURG,ANGLAIS,ANGLAIS,2e_visite,19,24.3
27/01/2019,LUX,3273,BETTEMBOURG,LUXEMBOURGEOIS,LUXEMBOURGEOIS,2e_visite,18,20
27/01/2019,LUX,2410,LUXEMBOURG,LETTON,FRANCAIS,2e_visite,19,24.3
