DATE;PAYS;"CODE 
POSTAL";LOCALITE;"LANGUE 
MATERNELLE";"LANGUE 
VEHICULAIRE";"COMMENT 
NOUS AVEZ-VOUS DECOUVERT?";MIN;KM
02/01/2019;LU;3327;CRAUTHEM;LUX;LUX;2ŠME Visite;22;26
02/01/2019;LU;8214;MAMER;HOLLONDAIS;LUX;Neutre ELLE NE SE RAPPELLE PLUS?????;25;18
02/01/2019;LU;5886;ALZINGEN;FR;ANG;GOOGLE;25;28
02/01/2019;LU;3872;SCHIFFLANGE;LUX;LUX;B.A.O. AMIS;14;13
02/01/2019;FR;57570;CATTENOM;FR;FR;GOOGLE;34;40
02/01/2019;LU;2117;LUXEMBOURG;FR;FR;FB;21;24,5
02/01/2019;FR;57445;SARRBURG;FR;FR;FB;112;191
02/01/2019;LU;6166;ERNSTER;LUX;LUX;ANNIVERSAIRE AU LSC;31;41
02/01/2019;LU;8365;HAGEN;LUX;LUX;B.A.O;25;18
02/01/2019;LU;9370;DIEKIRCH;LUX;LUX;FB;48;69
02/01/2019;LU;5451;STADTBREDIMUS;LUX;LUX;B.A.O. AMIS;35;43
02/01/2019;LU;8540;OSPERN;HOLLONDAIS;LUX ;RADIO RTL ;46;36
02/01/2019;LU;1309;LUXEMBOURG;SLOVAQUE;DE;3 Ôme Visite ;21;24,5
02/01/2019;BE;6730;TINTIGNY;FR;FR;B.A.O. AMIS;21;24,5
02/01/2019;LU;6835;BOUDLER;LUX;LUX;B.A.O;43;54
02/01/2019;LU;7248;WALFERDANGE;FR ;FR ;B.A.O;32;34
02/01/2019;BE;6700;ARLON;FR;ANG;FB;35;25
02/01/2019;FR;57180;TERVILLE;FR;ANG;B.A.O;33;39
02/01/2019;DE;76275;ETTLINGEN;DE;ANG;GOOGLE;153;246
02/01/2019;DE;47143;DORTMUND;DE;DE;Google QUOI FAIRE AVEC LES ENFANTS AU Luxembourg;202;321
02/01/2019;FR;57100;THIONVILLE;FR;FR;B.A.O. FAMILLE;40;45
02/01/2019;BE;9308;AALST;ANG;ANG;FB;;
02/01/2019;LU;5690;EHLANGE-SUR-MESS;LUX;LUX;FB;10;7,1
02/01/2019;BE;6740;ETALLE;FR;FR;B.A.O. FAMILLE;39;39
02/01/2019;LU;6251;SCHEIDGEN;LUX;LUX;Presse RADIO RTL;44;56
02/01/2019;BE;6700;ARLON;FR;FR;B.A.O. AMIS;35;25
02/01/2019;LU;1420;LUXEMBOURG;ANG;FR;GOOGLE;21;24,5
02/01/2019;LU;2324;BIVANGE;LUX;LUX;ECOLE;22;26
02/01/2019;LU;9168;MERTZIG;LUX;LUX;ECOLE;50;66
02/01/2019;LU;4564;DIFFERDANGE;LUX;FR;B.A.O. FAMILLE;0;0
02/01/2019;BE;1320;BRUXELLES;FR;FR;B.A.O. AMIS;143;208
02/01/2019;LU;3385;NOERTZANGE;LUX;LUX;GOOGLE;16;17
02/01/2019;LU;7554;MERSCH;LUX;LUX;B.A.O;39;49
02/01/2019;BE;6769;VIRTON;FR;ANG;GOOGLE;46;33
02/01/2019;LU;3414;DUDELANGE;LUX;LUX;B.A.O;23;20
02/01/2019;FR;54520;LEVEILLE;FR;FR;FB;168;255
02/01/2019;BE;6781;MESSANCY;FR;FR;GOOGLE;22;13
02/01/2019;FR;88230;FRAIZE;FR;FR;B.A.O;148;219
02/01/2019;FR;57380;FAULQUEMONT;FR;FR;Presse REPORTE M6;77;100
02/01/2019;LU;8248;MAMER;LUX;LUX;Neutre ELLE NE SE RAPPELLE PLUS?????;28;18
02/01/2019;LU;4058;ESCH SUR ALZETTE ;LUX;LUX;2ŠME VISITE ;17;10
02/01/2019;FR;51500;SACY;FR;FR;TRIP ADVISOR;133;200
03/01/2019;LU;7307;STEINSEL;DE;LUX;FB;30;35
